Comment,Designator,Footprint,LCSC,Quantity
USB4105-GF-A,USBC501,USB-C_24P-2.0,,1
V_C=12V V_B=3.6V V_RWM=3.3V,D402,D_SOD-882,,1
C502551,D401,D_SOD-882,,1
C42441446,Q301,SOT-23,,1
1K,R301,R_0603_1608Metric,,1
Conn_01x12_Pin,J301,GC9A01-Connector,,1
SN65HVD232,U401,SOIC-8_3.9x4.9mm_P1.27mm,,1
10k,R201,R_0603_1608Metric,,1
1uF,C201,C_0805_2012Metric,,1
C,C202,C_0805_2012Metric,,1
SW_SPST,RST201,SMD_Push_Button,,1
AMS1117-3.3,U501,SOT-223-3_TabPin2,,1
ESP32-S3-PICO-1-N8R2,U201,PQFN40P700X700X106-57N,,1
5.1k,Rusb502,R_0603_1608Metric,,1
5.1k,Rusb501,R_0603_1608Metric,,1
10,R303,R_0603_1608Metric,,1
10K,R302,R_0603_1608Metric,,1
10k,R205,R_0603_1608Metric,,1
10k,R204,R_0603_1608Metric,,1
10k,R203,R_0603_1608Metric,,1
10k,R202,R_0603_1608Metric,,1
3.3V,D404,D_SOD-123,,1
3.3V,D403,D_SOD-123,,1
22uF,C502,C_0805_2012Metric,,1
10uF,C501,C_0805_2012Metric,,1
100nF,C401,C_0805_2012Metric,,1
104,C301,C_0805_2012Metric,,1
0.1uF,C204,C_0805_2012Metric,,1
22uF,C203,C_0805_2012Metric,,1
Conn_01x04,J401,JST_XH_B4B-XH-A_1x04_P2.50mm_Vertical,,1
BOOT,SPST201,SMD_Push_Button,,1
