Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C201,1uF,C_0805_2012Metric,94.3,-119.9,180.0,top
C202,22uF,C_0805_2012Metric,94.3,-114.7,180.0,top
C203,0.1uF,C_0805_2012Metric,94.3,-111.9,90.0,top
C204,3.3pF,C_0603_1608Metric,90.412281,-117.245,-90.0,top
C205,3.3pF,C_0603_1608Metric,95.012281,-117.245,-90.0,top
C301,104,C_0805_2012Metric,94.8,-126.8,90.0,top
C401,unkwn,C_0805_2012Metric,90.1,-108.7,-90.0,top
C402,unkwn,C_0805_2012Metric,88.0,-108.7,-90.0,top
C403,100nF,C_0805_2012Metric,89.5,-105.9,180.0,top
C404,47uF,C_0805_2012Metric,93.0,-107.7,180.0,top
C405,100nF,C_0805_2012Metric,107.0,-114.0,90.0,top
C501,10uF,C_0805_2012Metric,110.3,-129.6,180.0,top
C502,22uF,C_0805_2012Metric,107.6,-120.5,-90.0,top
D401,SP4020-01FTG-C,R_0805_2012Metric,94.4,-103.1875,90.0,top
D402,PESD1CAN,SOT-23,106.1,-107.9,180.0,top
FB401,BLM18KG121TN1D,L_0603_1608Metric,91.8,-104.1,0.0,top
J201,Conn_Coaxial,CONMHF1-SMD-G-T_U.FL,87.3,-116.5,-90.0,top
J301,Conn_01x12_Pin,GC9A01_Connector,100.0625,-126.9625,180.0,bottom
J401,Conn_01x04,JST_PH_B4B_SM4_TB,99.95,-107.1,-90.0,top
JP501,SolderJumper_2_Open,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,110.3,-127.2,0.0,top
L201,2.2nH,L_0603_1608Metric,92.7,-116.5,0.0,top
L401,TDK ACT45B-510-2P-TL003,TDK ACT45B-510-2P-TL003,110.1,-108.1,-90.0,top
Q301,L2N7002SLLT1G,SOT_TO_92_L2N7002SLLT1G,90.5,-128.525,0.0,top
R201,470,R_0603_1608Metric,87.5,-122.9,90.0,top
R202,10k,R_0603_1608Metric,89.1,-122.9,90.0,top
R203,10k,R_0603_1608Metric,94.5,-121.7,180.0,top
R204,100,R_0603_1608Metric,104.9,-114.0,90.0,top
R205,10k,R_0603_1608Metric,101.7,-114.5,180.0,top
R206,10k,R_0603_1608Metric,98.6,-114.5,0.0,top
R301,1k,R_0603_1608Metric,93.0,-126.725,-90.0,top
R302,10,R_0603_1608Metric,93.0,-129.825,-90.0,top
R401,3,R_0603_1608Metric,92.8,-105.9,0.0,top
R402,100,R_0603_1608Metric,105.9,-116.7,180.0,top
RST201,SW_SPST,XUNPU_Button,89.475,-120.1,0.0,top
Rusb501,5.1k,R_0603_1608Metric,94.8,-132.1,90.0,top
Rusb502,5.1k,R_0603_1608Metric,94.8,-135.2,-90.0,top
SPST201,BOOT,XUNPU_Button,93.075,-123.7,0.0,top
U201,ESP32-S3-PICO-1-N8R2,ESP32-S3-PICO-1,100.0,-119.069563,0.0,top
U401,SN65HVD232,SOIC-8_3.9x4.9mm_P1.27mm,112.0,-114.2,0.0,top
U501,USBLC6-2SC6,SOT-23-6,106.7,-126.8,90.0,top
U502,AMS1117-3.3,SOT-223-3_TabPin2,112.3,-121.4,90.0,top
USBC501,USB4105-GF-A,USB-C_24P-2.0,100.8,-132.574999,0.0,top
